# The Reference Fusion gene pairs ====> COSMIC,ChimerDB,TICdb,CobjoinG,FareCafe 
# The Gene sequence of Fusion gene pairs ======> Ensembl 
# Updated: 2018.12.26 
FAM184A-MCM9	FAM184A	MCM9
BTN3A3-BTN2A1	BTN3A3	BTN2A1
HIST1H2AM-HIST1H3J	HIST1H2AM	HIST1H3J
PRKRIP1-ORAI2	PRKRIP1	ORAI2
ADHFE1-VXN	ADHFE1	VXN
ADHFE1-RRS1	ADHFE1	RRS1
NPDC1-FUT7	NPDC1	FUT7
ARHGAP4-L1CAM	ARHGAP4	L1CAM
PHOSPHO2-KLHL23	PHOSPHO2	KLHL23
ARID4B-RBM34	ARID4B	RBM34
ARHGAP19-SLIT1	ARHGAP19	SLIT1
BORCS7-AS3MT	BORCS7	AS3MT
MFRP-C1QTNF5	MFRP	C1QTNF5
SLC43A3-PRG2	SLC43A3	PRG2
ATN1-C12orf57	ATN1	C12orf57
KLRC4-KLRK1	KLRC4	KLRK1
LMAN1L-CPLX3	LMAN1L	CPLX3
HEXA-CELF6	HEXA	CELF6
ZNF286A-TBC1D26	ZNF286A	TBC1D26
TMEM256-PLSCR3	TMEM256	PLSCR3
MAG-CD22	MAG	CD22
PPP1CB-SPDYA	PPP1CB	SPDYA
ZGPAT-LIME1	ZGPAT	LIME1
L3MBTL1-SGK2	L3MBTL1	SGK2
STX16-NPEPL1	STX16	NPEPL1
SEC14L2-MTFP1	SEC14L2	MTFP1
NPHP3-ACAD11	NPHP3	ACAD11
PLXNB3-SRPK3	PLXNB3	SRPK3
HNRNPUL2-BSCL2	HNRNPUL2	BSCL2
TXNDC12-KTI12	TXNDC12	KTI12
CLCA4-CLCA3P	CLCA4	CLCA3P
PPM1J-RHOC	PPM1J	RHOC
CTNNBIP1-CLSTN1	CTNNBIP1	CLSTN1
CFAP45-VSIG8	CFAP45	VSIG8
PYGO2-PBXIP1	PYGO2	PBXIP1
PYGO2-SHC1	PYGO2	SHC1
CCDC28B-IQCC	CCDC28B	IQCC
GBP5-GBP4	GBP5	GBP4
DNAJC8-PTAFR	DNAJC8	PTAFR
NCOA4-MSMB	NCOA4	MSMB
TYSND1-AIFM2	TYSND1	AIFM2
SAR1A-AIFM2	SAR1A	AIFM2
ECD-P4HA1	ECD	P4HA1
MS4A6E-MS4A14	MS4A6E	MS4A14
LINC00301-MS4A8	LINC00301	MS4A8
SIDT2-TAGLN	SIDT2	TAGLN
PSMD9-WDR66	PSMD9	WDR66
KRT79-KRT4	KRT79	KRT4
RPLP0-GCN1	RPLP0	GCN1
EEF1AKMT3-TSFM	EEF1AKMT3	TSFM
TRIM13-KCNRG	TRIM13	KCNRG
BUB1B-PAK6	BUB1B	PAK6
EFCAB11-FOXN3	EFCAB11	FOXN3
TC2N-CATSPERB	TC2N	CATSPERB
CKLF-CMTM1	CKLF	CMTM1
TMEM170A-CFDP1	TMEM170A	CFDP1
ITPRIPL2-SYT17	ITPRIPL2	SYT17
SNTB2-VPS4A	SNTB2	VPS4A
EVI2A-EVI2B	EVI2A	EVI2B
ZNF772-VN1R1	ZNF772	VN1R1
DMWD-DMPK	DMWD	DMPK
NDUFA11-FUT5	NDUFA11	FUT5
PVR-CEACAM19	PVR	CEACAM19
MRPL33-RNF20	MRPL33	RNF20
ATF2-CHN1	ATF2	CHN1
ZNF514-MRPS5	ZNF514	MRPS5
TBR1-SLC4A10	TBR1	SLC4A10
TIA1-C2orf42	TIA1	C2orf42
VAMP8-VAMP5	VAMP8	VAMP5
HOXD11-HOXD10	HOXD11	HOXD10
PXMP4-NECAB3	PXMP4	NECAB3
ACSS1-APMAP	ACSS1	APMAP
WRB-SH3BGR	WRB	SH3BGR
IFNAR2-IL10RB	IFNAR2	IL10RB
SNRPD3-GGT1	SNRPD3	GGT1
C1QTNF6-IL2RB	C1QTNF6	IL2RB
PACSIN2-ARFGAP3	PACSIN2	ARFGAP3
TCTEX1D2-PCYT1A	TCTEX1D2	PCYT1A
CFI-PLA2G12A	CFI	PLA2G12A
PPP2CA-SKP1	PPP2CA	SKP1
PELO-ITGA1	PELO	ITGA1
TBC1D9B-MRNIP	TBC1D9B	MRNIP
C2-CFB	C2	CFB
RIPPLY2-CYB5R4	RIPPLY2	CYB5R4
HOXA9-HOXA10	HOXA9	HOXA10
GIMAP1-GIMAP5	GIMAP1	GIMAP5
PRELID3B-ATP5F1E	PRELID3B	ATP5F1E
FKBP1A-SDCBP2	FKBP1A	SDCBP2
PCLAF-CSNK1G1	PCLAF	CSNK1G1
NEDD8-DPEP1	NEDD8	DPEP1
SLCO1B7-SLCO1B1	SLCO1B7	SLCO1B1
TOPORS-DDX58	TOPORS	DDX58
TGIF2-RAB5IF	TGIF2	RAB5IF
GJA10-MYCBP	GJA10	MYCBP
PMF1-BGLAP	PMF1	BGLAP
TRIM6-TRIM34	TRIM6	TRIM34
TUT1-EEF1G	TUT1	EEF1G
SERF2-HYPK	SERF2	HYPK
SPIN1-LAT	SPIN1	LAT
NME1-NME2	NME1	NME2
TEN1-CDK3	TEN1	CDK3
RAD51D-RFFL	RAD51D	RFFL
APOC4-APOC2	APOC4	APOC2
ZNF625-ZNF20	ZNF625	ZNF20
STON1-GTF2A1L	STON1	GTF2A1L
INO80B-WBP1	INO80B	WBP1
MYT1-PCMTD2	MYT1	PCMTD2
TMEM189-UBE2V1	TMEM189	UBE2V1
RPL11-ELOA	RPL11	ELOA
SLC39A1-CRTC2	SLC39A1	CRTC2
NSUN4-FAAH	NSUN4	FAAH
RAB13-JTB	RAB13	JTB
RBM8A-PEX11B	RBM8A	PEX11B
OPN3-CHML	OPN3	CHML
SDHD-TEX12	SDHD	TEX12
MS4A5-MS4A1	MS4A5	MS4A1
CD27-TAPBPL	CD27	TAPBPL
CLEC4A-ZNF705A	CLEC4A	ZNF705A
CCDC77-B4GALNT3	CCDC77	B4GALNT3
VPS36-THSD1	VPS36	THSD1
SYNJ2BP-COX16	SYNJ2BP	COX16
SLIRP-C14orf178	SLIRP	C14orf178
PAGR1-MVP	PAGR1	MVP
MLYCD-OSGIN1	MLYCD	OSGIN1
CIAO2B-RRAD	CIAO2B	RRAD
TMC7-COQ7	TMC7	COQ7
ARL6IP1-RPS15A	ARL6IP1	RPS15A
TERF2-COG8	TERF2	COG8
TMED6-COG8	TMED6	COG8
KSR1-LGALS9	KSR1	LGALS9
TRPV3-SPATA22	TRPV3	SPATA22
RHBDL3-ZNF207	RHBDL3	ZNF207
SAFB2-TINCR	SAFB2	TINCR
GPI-PDCD2L	GPI	PDCD2L
TEX45-ZNF358	TEX45	ZNF358
SIGLEC11-NUP62	SIGLEC11	NUP62
KCNJ14-CYTH2	KCNJ14	CYTH2
RAB4B-EGLN2	RAB4B	EGLN2
CLDND2-ETFB	CLDND2	ETFB
SPINT2-C19orf33	SPINT2	C19orf33
TMEM18-SH3YL1	TMEM18	SH3YL1
RNF185-LIMK2	RNF185	LIMK2
ADSL-SGSM3	ADSL	SGSM3
COX17-POPDC2	COX17	POPDC2
ZNF197-ZNF660	ZNF197	ZNF660
HIGD1A-CCDC13	HIGD1A	CCDC13
COL7A1-UCN2	COL7A1	UCN2
RTP2-BCL6	RTP2	BCL6
GAS5-BCL6	GAS5	BCL6
PROM1-FGFBP2	PROM1	FGFBP2
RPS10-NUDT3	RPS10	NUDT3
CLIC1-DDAH2	CLIC1	DDAH2
PNISR-COQ3	PNISR	COQ3
CAGE1-SSR1	CAGE1	SSR1
RAET1G-RAET1E	RAET1G	RAET1E
HIST1H2BC-HIST1H1T	HIST1H2BC	HIST1H1T
TMEM14B-SYCP2L	TMEM14B	SYCP2L
ASL-CRCP	ASL	CRCP
URGCP-MRPS24	URGCP	MRPS24
ZNF425-ZNF786	ZNF425	ZNF786
LSM8-ANKRD7	LSM8	ANKRD7
UBE2W-STAU2	UBE2W	STAU2
TMEM203-TPRN	TMEM203	TPRN
MAGEA10-MAGEA5	MAGEA10	MAGEA5
ARMCX4-ARMCX1	ARMCX4	ARMCX1
TPH1-SERGEF	TPH1	SERGEF
STATH-HTN3	STATH	HTN3
ABL1-FUBP3	ABL1	FUBP3
SASH1-SAMD5	SASH1	SAMD5
MAGI3-AKT3	MAGI3	AKT3
PAFAH1B3-CLK2	PAFAH1B3	CLK2
HSPBAP1-DIRC3	HSPBAP1	DIRC3
FNBP1-KMT2A	FNBP1	KMT2A
SENP1-MESD	SENP1	MESD
IGHMBP2-KMT2A	IGHMBP2	KMT2A
IGHMBP2-CATSPERZ	IGHMBP2	CATSPERZ
IGHMBP2-GPR137	IGHMBP2	GPR137
IGHMBP2-SPATA48	IGHMBP2	SPATA48
MUC1-FAM189B	MUC1	FAM189B
MUC1-GBA	MUC1	GBA
MUC1-PKLR	MUC1	PKLR
MUC1-SIAE	MUC1	SIAE
